instruction,context,response,category
when did virgin australia start oper ?,"virgin australia , the trade name of virgin australia airlin pti ltd , is an australian-bas airlin . it is the largest airlin by fleet size to use the virgin brand . it commenc servic on 31 august 2000 as virgin blue , with two aircraft on a singl rout . [ 3 ] it suddenli found itself as a major airlin in australia 's domest market after the collaps of ansett australia in septemb 2001 . the airlin ha sinc grown to directli serv 32 citi in australia , from hub in brisban , melbourn and sydney . [ 4 ]","virgin australia commenc servic on 31 august 2000 as virgin blue , with two aircraft on a singl rout .",closed_qa
which is a speci of fish ? tope or rope,,tope,classif
whi can camel surviv for long without water ?,,camel use the fat in their hump to keep them fill with energi and hydrat for long period of time .,open_qa
"alic 's parent have three daughter : ami , jessi , and what ’ s the name of the third daughter ?",,the name of the third daughter is alic,open_qa
when wa tomoaki komorida born ?,"komorida wa born in kumamoto prefectur on juli 10 , 1981 . after graduat from high school , he join the j1 leagu club avispa fukuoka in 2000 . although he debut as a midfield in 2001 , he did not play much and the club wa releg to the j2 leagu at the end of the 2001 season . in 2002 , he move to the j2 club oita trinita . he becam a regular player as a defens midfield and the club won the championship in 2002 and wa promot in 2003 . he play mani match until 2005 . in septemb 2005 , he move to the j2 club montedio yamagata . in 2006 , he move to the j2 club vissel kobe . although he becam a regular player as a defens midfield , hi gradual wa play less dure the summer . in 2007 , he move to the japan footbal leagu club rosso kumamoto ( later roasso kumamoto ) base in hi local region . he play as a regular player and the club wa promot to j2 in 2008 . although he did not play as much , he still play in mani match . in 2010 , he move to indonesia and join persela lamongan . in juli 2010 , he return to japan and join the j2 club giravanz kitakyushu . he play often as a defens midfield and center back until 2012 when he retir . [ 1 ]","tomoaki komorida wa born on juli 10,1981 .",closed_qa
"if i have more piec at the time of stalem , have i won ?","stalem is a situat in chess where the player whose turn it is to move is not in check and ha no legal move . stalem result in a draw . dure the endgam , stalem is a resourc that can enabl the player with the inferior posit to draw the game rather than lose . [ 2 ] in more complex posit , stalem is much rarer , usual take the form of a swindl that succe onli if the superior side is inattent . [ citat need ] stalem is also a common theme in endgam studi and other chess problem . the outcom of a stalem wa standard as a draw in the 19th centuri . befor thi standard , it treatment vari wide , includ be deem a win for the stalem player , a half-win for that player , or a loss for that player ; not be permit ; and result in the stalem player miss a turn . stalem rule vari in other game of the chess famili .",no . stalem is a drawn posit . it doe n't matter who ha captur more piec or is in a win posit,information_extract
"given a refer text about lollapalooza , where doe it take place , who start it and what is it ?","lollapalooza /ˌlɒləpəˈluːzə/ ( lolla ) is an annual american four-day music festiv held in grant park in chicago . it origin start as a tour event in 1991 , but sever year later , chicago becam it perman locat . music genr includ but are not limit to altern rock , heavi metal , punk rock , hip hop , and electron danc music . lollapalooza ha also featur visual art , nonprofit organ , and polit organ . the festiv , held in grant park , host an estim 400,000 peopl each juli and sell out annual . [ 4 ] lollapalooza is one of the largest and most icon music festiv in the world and one of the longest-run in the unit state . [ 5 ] [ 6 ] lollapalooza wa conceiv and creat in 1991 as a farewel tour by perri farrel , singer of the group jane 's addict .","lollapalooz is an annual music festiv held in grant park in chicago , illinoi . it wa start in 1991 as a farewel tour by perri farrel , sing of the group jane 's addict . the festiv includ an array of music genr includ altern rock , heavi metal , punk rock , hip hop , and electron danc music . the festiv welcom an estim 400,000 peopl each year and sell out annual . some notabl headlin includ : the red hot chili pepper , chanc the rapper , metallica , and ladi gage . lollapalooza is one of the largest and most icon festiv in the world and a stapl of chicago .",closed_qa
who gave the un the land in ny to build their hq,,john d rockerfel,open_qa
whi mobil is bad for human,,we are alway engag one phone which is not good .,brainstorm
who wa john mose brown ?,"john mose brown ( januari 23 , 1855 – novemb 26 , 1926 ) wa an american firearm design who develop mani varieti of militari and civilian firearm , cartridg , and gun mechan – mani of which are still in use around the world . he made hi first firearm at age 13 in hi father 's gun shop and wa award the first of hi 128 firearm patent on octob 7 , 1879 , at the age of 24 . he is regard as one of the most success firearm design of the 19th and 20th centuri and pioneer the develop of modern repeat , semi-automat , and automat firearm . brown influenc nearli all categori of firearm design , especi the autoload of ammunit . he invent , or made signific improv to , single-shot , lever-act , and pump-act rifl and shotgun . he develop the first reliabl and compact autoload pistol by invent the telescop bolt , then integr the bolt and barrel shroud into what is known as the pistol slide . brown 's telescop bolt design is now found on nearli everi modern semi-automat pistol , as well as sever modern fulli automat weapon . he also develop the first gas-oper firearm , the colt–brown model 1895 machin gun – a system that surpass mechan recoil oper to becom the standard for most high-pow self-load firearm design worldwid . he also made signific contribut to automat cannon develop . brown 's most success design includ the m1911 pistol , the water-cool m1917 , the air-cool m1919 , and heavi m2 machin gun , the m1918 brown automat rifl , and the brown auto-5 – the first semi-automat shotgun . some of these arm are still manufactur , often with onli minor chang in detail and cosmet to those assembl by brown or hi license . the browning-design m1911 and hi-pow are some of the most copi firearm in the world .","john mose brown is one of the most well-known design of modern firearm . he start build firearm in hi father 's shop at the age of 13 , and wa award hi first patent when he wa 24 . he design the first reliabl automat pistol , and the first gas-oper firearm , as well invent or improv single-shot , lever-act , and pump-act rifl and shotgun . today , he is most well-known for the m1911 pistol , the brown automat rifl , and the auto-5 shotgun , all of which are in still in current product in either their origin design , or with minor chang . hi m1911 and hi-pow pistol design are some of the most reproduc firearm in the world today .",information_extract
